,LOR016C_binning_bin2,LOR019C_binning_bin1,LOR021C_binning_bin2,LOR022C_binning_bin2,LOR022C_binning_bin3,LOR022C_binning_bin4,LOR026C_binning_bin2,LOR028C_binning_bin1,LOR028C_binning_bin2,LOR028C_binning_bin4,LOR030C_binning_bin2,LOR034C_binning_bin1,LOR034C_binning_bin3,LOR034C_binning_bin4,LOR034C_binning_bin6,LOR051C_binning_bin2,LOR051C_binning_bin3,LOR051C_binning_bin4,LOR054C_binning_bin1,LOR054C_binning_bin3,LOR054C_binning_bin4,LOR054C_binning_bin5,LOR054C_binning_bin6,LOR054C_binning_bin7,LOR054C_binning_bin9,LOR054C_binning_bin10,LOR054C_binning_bin11,LOR054C_binning_bin12,LOR054C_binning_bin13,LOR054C_binning_bin14,LOR055C_binning_bin1,LOR055C_binning_bin6,LOR060C_binning_bin1,LOR061C_binning_bin1,LOR070C_binning_bin1,LOR072C_binning_bin2,LOR074C_binning_bin2,LOR074C_binning_bin3,LOR076C_binning_bin1,LOR081C_binning_bin1,LOR081C_binning_bin2,LOR082C_binning_bin3,LOR083C_binning_bin2,LOR084C_binning_bin2,LOR090C_binning_bin1,LOR090C_binning_bin2,LOR090C_binning_bin4,LOR101C_binning_bin3,LOR102C_binning_bin2,LOR103C_binning_bin1,LOR103C_binning_bin2,LOR202C_binning_bin1,LOR202C_binning_bin3,LOR202C_binning_bin4,LOR203C_binning_bin1,LOR203C_binning_bin3,LOR210C_binning_bin1,LOR214C_binning_bin1,LOR214C_binning_bin2,LOR214C_binning_bin3,LOR215C_binning_bin1,LOR217C_binning_bin3,LOR218C_binning_bin1,LOR218C_binning_bin3,LOR219C_binning_bin1,LOR221C_binning_bin1,LOR222C_binning_bin1,LOR222C_binning_bin2,LOR224C_binning_bin1,LOR224C_binning_bin3,LOR226C_binning_bin1,LOR226C_binning_bin2,LOR226C_binning_bin3,LOR228C_binning_bin2,LOR229C_binning_bin2,LOR235C_binning_bin1,LOR238C_binning_bin3,LOR240C_binning_bin1,LOR242C_binning_bin1,LOR242C_binning_bin2,LOR242C_binning_bin4,LOR242C_binning_bin5,LOR243C_binning_bin3,LOR243C_binning_bin4,LOR243C_binning_bin5,LOR258C_binning_bin1,LOR258C_binning_bin2,LOR258C_binning_bin3,LOR262C_binning_bin1,LOR264C_binning_bin2,LOR274C_binning_bin1,LOR274C_binning_bin2,LOR275C_binning_bin1,LOR275C_binning_bin4,LOR281C_binning_bin1,LOR281C_binning_bin2,LOR281C_binning_bin3,LOR282C_binning_bin1,LOR282C_binning_bin3,LOR282C_binning_bin4,LOR282C_binning_bin5,LOR288C_binning_bin2,LOR289C_binning_bin1,LOR295C_binning_bin1,LOR295C_binning_bin3,LOR295C_binning_bin5,LOR295C_binning_bin6,LOR295C_binning_bin7,LOR295C_binning_bin9,LOR295C_binning_bin11,LOR295C_binning_bin12,LOR300C_binning_bin1
LOR002C,0.410097108,0.348164864,0.823933554,0.000246542,0.000377786,0.364016786,7.120982508,0,3.244271667,0.000867976,0.428922027,0.098577829,30.12045509,0.759368672,33.41710302,1.167611383,0.054196423,0,0.519952478,0.008493834,0.041391369,0.16744727,36.71427221,0.130485014,0.000119201,0,0.000480587,0.083011292,0.212930715,0.073752904,32.50259925,8.883775317,33.68666632,10.78937042,0.277409782,5.801531139,0.00839012,0.115942935,0.325178398,0.195125697,1.120442069,4.982598573,4.843107827,0.672679694,0.186249719,0.458795539,0.929081658,2.4953847,3.743321494,3.313750873,33.56833532,3.139060442,6.883080692,1.093428457,36.16306323,9.612404995,1.789440975,201.8125795,0.083545575,1.100935693,0.024294991,4.568073171,32.97070937,0.438388319,1.066422223,183.7706009,1.037046272,0.738457544,4.728066188,0.086765743,0.369562795,1.040439916,0.926835897,6.449284118,209.9430253,0.397821603,1.931472969,0.013491451,34.77205926,0.812062068,0.908904208,0.596556285,0.074000696,11.69975106,1.142536106,1.422917452,5.262614004,0.815972896,0.004893037,4.70211766,12.79965757,180.1891965,8.673924546,159.9152163,0.124787467,0.14426087,1.125565654,4.306304734,8.267205378,5.707056175,0.558054955,210.5891906,193.1293172,0.807579634,3.411840593,0.903629126,0.077468212,4.851362105,0.015837405,0.034130586,1.233843917,177.5919436
LOR003C,0.863790603,0.725687687,2.196615448,0.086915917,0.083450279,0.076962315,5.799714727,0,0.549715633,0,0.03377167,6.939953913,6.338104269,1.451156854,8.225601932,2.447195813,0.004256084,0,0.595080489,0.061328084,0.161431571,0.189982575,8.374501631,0.557908854,0.012845935,0.000227503,0.011220918,0.050532288,0.022180833,0,1.631909842,2.877642798,8.63422567,10.80066349,0.696279241,6.032030283,0.000320173,0.071265654,0.235229634,0.153839205,1.851066547,6.571862578,2.472850563,0.070954196,6.610854036,0.380625841,0.242125883,14.70555254,3.88384422,0.459605675,0.223304613,14.9972659,4.312357898,2.265567301,8.08707135,0.577159089,0.523724534,204.5489262,0.267919205,2.190014916,0.027584272,5.898195686,0.415642513,7.972753634,2.123914154,186.3163805,0.092104203,2.323770446,3.178431484,0.137978452,0.318795342,2.079074732,0.053777763,6.728195747,210.5623774,0.284917209,1.941319246,0.050196809,8.867606604,0.014932097,0.473995562,0.648770424,0.004557117,8.540466704,2.360614166,0.234731818,6.013090761,6.364041916,0,4.294573411,15.44759874,179.9971732,0.120670299,160.2456081,6.416743277,0,2.762568059,0.170638794,0.154917489,6.212502357,0.125607206,211.5530235,193.9254553,0.056773681,0.577520192,0.068166624,0.321214358,4.732757405,0.493198169,0.007514494,2.882659677,180.929835
LOR005C,0.949298626,0.712379328,5.468900359,0.115183084,0.084597481,0.15256278,16.37034526,0,0.591371436,0,0.041254718,0.576535212,35.89361123,1.884815642,1.560489215,5.762898842,0.10387202,0,0.588460146,0.035042284,0.158047497,0.153011276,1.768285706,0.795079261,0.159732596,0,0.073854297,0.040818934,0.034312984,0.020935261,5.08404006,3.235120755,35.18489664,24.07124305,0.476869864,15.52641,0.019290541,0.201988856,9.366627279,0.018642083,4.695166822,14.40658485,4.772545138,0.137017498,0.64163748,0.18009375,0.215408349,4.251182684,8.031315153,0.591558948,0.414618137,3.742154937,9.375330458,5.491267339,1.681226492,0.415561795,0.657409062,535.8033869,0.220959348,5.619911436,0.005170061,14.32591747,0.784342113,0.524997233,5.179004964,487.636998,0.60566767,5.680521239,36.37696805,0.015294785,0.225010221,5.709981902,0.563007056,15.60843071,552.6782449,0.282843323,1.408457199,10.64310679,3.104793494,0.449910485,0.348706321,0.816215678,0.010057409,44.7829645,6.010637744,0.146202772,14.91178605,0.762412507,0.007731863,7.018935675,31.49833689,480.9028506,0.385767435,418.9131494,0.66342655,0.001415942,6.436484131,1.173342374,0.510087768,15.05187698,0.063409641,558.2729509,518.7100755,0.009785713,0.647362308,0.119329198,0.334660123,13.46735721,0.381553025,0.004868057,7.266989873,469.6737374
LOR006C,2.506767403,0.394033323,12.72801585,0.187725368,1.28535424,0.15623382,2.153527242,0,23.23675589,0,0.506447958,1.224544916,0.343693617,0.501801716,1.981228803,12.89090309,0.285449459,0,0.396777726,0.198625906,0.197519894,0.005155946,2.006605694,1.876390398,0.031210524,0,0.158894453,0.093705366,0.106377556,0.000500984,0.882407531,1.956107895,0.274490728,7.974205955,0.278276342,1.995438869,0.36036558,0.001940724,0.074701845,0.251259211,10.46345031,2.275080379,4.419284989,0.144404434,1.096432484,0.224485358,1.551283155,5.869692083,5.580871664,21.50545319,0.170014261,5.309575503,7.461299152,9.039374925,1.86121881,0.122251661,0.029421894,347.1344795,0.129778437,11.84979247,0.00375855,2.422176188,0.151964046,0.539710144,13.58293038,315.6653509,0.374087622,12.9087132,15.59817582,7.640958267,0.514548672,11.75914806,0.377150671,1.717980647,360.4555385,0.110173308,1.0155054,0.054485496,2.718829119,0.326483972,0.34499717,0.421634636,0.00166999,24.8317091,13.57273575,0.653792086,2.3563029,0.980461912,0.058434003,3.381936749,25.14025026,309.3681525,0.209135594,272.7199179,0.911899857,0,13.4901528,0.57990424,0.21314884,2.374397586,0.564113004,363.3344512,338.0267904,0.144552165,23.49248925,0.230223419,0.378284855,2.660293216,0.134445832,3.626580177,13.90490582,309.6860608
LOR007C,0.66449601,0.841484348,0.149108902,0.000264604,0.000361669,0.214225545,13.17115238,0,0.191527951,0,0.159672541,2.930204457,54.41291256,3.396408462,16.20748546,0.278982323,0.000954267,0,0.930346478,0.093397746,0.493828111,0.135261724,16.13890242,0.170457777,0,0,0.145579688,0.144327266,0.10632263,0,26.54659742,8.361776794,55.82973485,20.33728298,0.660790426,13.38628235,0.067265639,0.347966735,0.112058824,0.149491693,0.442632923,11.32599026,2.216092379,0.000959822,2.959589936,0.013058764,0.356397002,1.780156956,6.803616435,0.198453784,20.28286308,1.041748752,6.463661059,0.143332067,16.04011197,1.542869133,2.050114743,461.2626235,0.295112005,0.150826075,0,11.27121069,20.71686502,2.184595156,0.223678837,417.7501328,0.214577575,0.206881819,1.783327148,0.093805367,0.317914213,0.227186216,0.216400157,13.6897234,475.1547166,0.317825775,0.834210095,0.091498645,16.80994099,0.189917724,0.416551231,0.994668505,0.02643508,12.29536904,0.213431643,0.484054242,11.58721599,3.221330093,1.91E-05,15.35976937,29.99282215,413.1072365,1.327866073,360.343365,3.185818551,0.009590032,0.169495271,1.771424723,1.798543629,11.29380821,0.254639236,479.1627068,445.3544032,0.124050018,0.270690699,0.41066098,0.001540604,9.886870885,0.080579799,0.001512703,0.232272017,416.4702683
LOR008C,0.496575897,0.412422923,2.065136337,0.401057242,0.087855436,0.0184229,5.284559521,0,1.866385627,0,0.558611404,0.942538522,10.79082468,0.71649002,3.462067222,2.030714852,0,0,0.409723195,0.078245946,0.159716833,0.084617488,3.770492963,0.335305449,0,0,0.001900744,0.01928715,0.060801615,0,1.024879555,6.851000621,11.74741637,11.5144505,0.417243601,5.373664773,0.047815105,0.006773181,1.173431413,0.143513595,1.899756447,6.745676045,2.212854778,0,0.847945404,0.969544185,0.118115796,18.36856652,9.907555379,1.883494162,10.87515067,17.43637664,25.59287382,1.722658939,3.354748173,0.330291689,0.490488067,399.4111378,0.033133745,1.807098267,0.004647859,5.828410813,11.55044064,0.641772455,2.212731042,361.8124456,0.019910215,2.439432833,12.99650488,0.011639104,0.187184313,1.842736276,0.023124616,5.424380475,366.2205176,0.141343137,1.208091049,1.17815735,3.799516048,0.017608951,0.229491822,0.224709863,0.029274907,22.77494952,2.071999376,6.900663276,5.363531408,0.863296051,0.000133775,7.835197704,25.73213172,363.2682366,0.316750829,319.8763833,0.79349074,0.000196856,2.230233996,0.311543673,0.293346439,5.825266126,0.14651462,369.4311273,387.581317,0.021875497,1.954721315,0.197981755,0.667549075,5.454337122,0.679519548,0.003320301,2.080893388,398.7112771
LOR009C,0.112014664,0.205456858,0.474990398,0.011051598,0.009519517,0.013093029,2.46087121,0,0.039989832,0.006072804,0.010567234,0.058815689,0.89089274,0.314517734,0.101386445,0.507786761,0.002933751,0.00012585,0.199145807,0.007063737,0.033320185,0.011242208,0.120159256,0.059098952,0.001832046,0,0.007724054,0.023006132,0.005173973,0.0011024,0.732981351,2.136775649,1.593799268,11.7553393,0.078326503,2.365806204,0.013480544,0.056747107,0.899154759,0.046209173,0.80025865,2.5140724,7.303107831,0.002322068,0.061169135,0.069023529,0.078589821,1.316552422,8.163159365,0.036302198,0.111858289,5.176431088,5.501901996,0.455443405,0.108278087,0.499129238,0.416782212,455.5027891,0.040649173,0.830273641,0.000670132,2.298230749,0.268434568,0.665420782,0.49425193,418.7283153,0.024153257,0.493807143,5.271489912,0.004711135,0.511246431,1.052414405,0.0190562,2.623366483,478.3681797,0.460808885,0.641876969,0.401394169,0.968869634,0.021686756,0.752879123,0.278340459,0.00057978,17.42646388,0.584711915,0.018628355,2.448722917,0.110471585,3.69E-05,5.06680707,31.97240131,413.4741749,0.037114028,361.3456004,0.061743118,0.001295169,0.503400784,0.129681871,0.044649976,2.664554484,0.10302344,484.8255474,441.1526206,0.011591726,0.082603869,0.02949924,0.013618438,2.015211363,0.005473595,0.017505503,0.567458244,403.2234127
LOR011C,0.632501354,0.472053504,11.07016634,0.014518728,0.023066507,0.586579959,14.19620363,0,0.709243009,0,0.49549407,41.11562953,26.92570843,2.22459661,9.823492772,10.88905902,0.053625786,0.00313116,0.404898156,0.424895808,0.151428625,0.447455421,9.999097193,0.653626344,0.006005508,0,0.805204714,0.348254139,0.095089499,0.00963188,3.054954313,3.168987557,25.62265639,17.86937175,15.66322443,14.03935125,0.011511617,0.093331723,0.477904535,0.109128455,8.936139581,12.85199274,2.934670663,0.083699358,38.56991729,0.609546455,0.191444599,21.68571559,5.035274995,0.711475783,0.420908694,22.91061591,5.180971972,7.157389055,9.922517783,0.398421825,0.6910627,265.512269,1.113860459,10.33239857,0.029420513,13.56246642,0.728288928,0.877572497,10.539025,239.7557023,0.379334472,10.84252871,5.929065778,0.030776263,0.135569126,10.65654118,0.38244602,12.91648417,270.960794,0.196907236,0.505597757,0.216977023,10.43701872,0.301191705,0.289956448,0.513960708,0.024369794,12.16839224,12.16749692,1.710778694,13.31290176,37.92364256,0.018604306,5.740693966,15.45523254,238.788818,0.092947461,207.5571682,37.59893896,0,12.95463444,0.290675132,0.07387609,12.62668837,0.135272169,272.782262,256.0131577,0.081172758,0.774723342,0.188338432,0.201391944,11.50838969,0.091483216,0.039285873,14.3448631,234.926475
LOR012C,0.112089122,0.367633382,1.219678447,0.02813942,0.007341342,0.29127077,10.81775592,0,0.117641311,0.001011925,0.008155883,0.085227089,1.299377542,1.333371977,0.11388851,1.30122462,0.025883174,0.001603253,0.290993916,0.024512777,0.027743738,0.044829214,0.054347686,0.167794323,0.015332554,0,0.161899517,0.092435943,0.089257417,0.019017375,0.294986074,3.646651154,2.179718887,21.1506205,4.951050077,10.32119122,0.047076279,0.074850527,0.824639469,0.134298715,1.209963983,9.88748393,2.303691651,0,0.103399279,0.625204194,0.295750536,13.36515854,10.97195671,0.133961637,0.077977301,13.00499726,18.03319496,0.826821251,0.060888679,0.405622882,0.258437172,510.6066915,0.072343944,1.291901418,0.001894619,9.970532865,0.420788829,0.850492375,1.322221107,463.7923784,0.093983264,1.283563443,14.74652761,0,0.228954504,1.419856186,0.083886082,10.51933851,516.9159243,0.393490378,3.485702286,0.646214832,0.968933657,0.081763964,0.423520776,0.439068847,0.02082954,23.97153209,1.566841869,0.017834509,10.89155366,0.067196858,0.043794312,5.174496741,28.60886263,459.7255324,0.128068716,405.0764578,0.075461376,0.000830085,1.684532843,0.219008278,0.080056241,10.26284502,0.078862776,521.5530891,492.8507851,0.018006268,0.234769719,0.041113244,0.06593316,10.049869,0.018186382,0.12774137,1.689147632,459.7367601
LOR013C,0.37453108,0.217266623,0.541618867,0.000311051,0.02565081,0.000334369,2.507150971,0,4.045467093,0,0.200103493,0.247525241,0.508657138,0.463969761,1.899073265,0.763990554,0.000597942,0,0.126316264,0.039167604,0.381262128,0.060031018,2.214001831,0.39970545,0,0,0.254559515,0.000884629,0.019638777,0,0.423104265,1.304122756,0.636643645,5.195933923,0.200474214,2.298074869,0.056973951,0.09965919,0.122810672,0.167979433,0.273916943,1.332362671,1.573918443,0.000390583,0.035570483,0.983029288,0.224814635,1.670189061,0.736299945,3.666000603,1.435843476,1.856945173,1.350052138,1.250282931,2.004126279,0.185096371,0.110387336,26.67347265,0.112803093,0.505596107,0.033293324,1.911769613,1.386859546,0.481464665,0.648714003,22.88269996,0.108831524,0.631538656,1.59716812,0.088657186,0.124344215,0.553455957,0.108921208,1.747514537,24.80154012,0.010274566,0.801194228,0.077802633,2.012785313,0.080437537,0.110542737,0.211483701,7.91E-05,2.161148925,0.834191238,0.031389569,1.929231847,0.32764205,0,0.806955759,4.347944325,24.06586091,0.220515367,19.80320718,0.295129163,0,0.545204342,0.048519224,0.207791341,2.059202529,0.306740723,24.45645767,23.70984589,0.084675161,4.614115916,0.036654609,0.214576371,2.247184706,0.079561531,0.046407563,0.605677872,22.87306529
