genomes,LOR002C,LOR003C,LOR005C,LOR006C,LOR007C,LOR008C,LOR009C,LOR011C,LOR012C,LOR013C,LOR014C,LOR015C,LOR016C,LOR017C,LOR018C,LOR019C,LOR020C,LOR021C,LOR022C,LOR023C,LOR024C,LOR025C,LOR026C,LOR027C,LOR028C,LOR029C,LOR030C,LOR033C,LOR034C,LOR036C,LOR037C,LOR042C,LOR046C,LOR051C,LOR054C,LOR055C,LOR058C,LOR060C,LOR061C,LOR062C,LOR063C,LOR065C,LOR070C,LOR072C,LOR074C,LOR076C,LOR078C,LOR081C,LOR082C,LOR083C,LOR084C,LOR085C,LOR086C,LOR090C,LOR091C,LOR098C,LOR099C,LOR101C,LOR102C,LOR103C,LOR202C,LOR203C,LOR204C,LOR206C,LOR207C,LOR208C,LOR210C,LOR211C,LOR212C,LOR214C,LOR215C,LOR216C,LOR217C,LOR218C,LOR219C,LOR220C,LOR221C,LOR222C,LOR223C,LOR224C,LOR225C,LOR226C,LOR227C,LOR228C,LOR229C,LOR230C,LOR231C,LOR233C,LOR234C,LOR235C,LOR237C,LOR238C,LOR239C,LOR240C,LOR241C,LOR242C,LOR243C,LOR246C,LOR248C,LOR249C,LOR254C,LOR258C,LOR259C,LOR260C,LOR262C,LOR264C,LOR269C,LOR270C,LOR272C,LOR274C,LOR275C,LOR279C,LOR281C,LOR282C,LOR283C,LOR284C,LOR287C,LOR288C,LOR289C,LOR294C,LOR295C,LOR300C,LOR301C,LOR303C
LOR005C7426,0,93.628743,422.0215948,0,307.9287288,0,371.202643,186.7757036,340.0822344,0,104.60868,0,123.0886508,266.7269932,13.1412138,17.289085,83.026914,149.3605911,57.6085375,210.093975,0,0,4.467539,111.8445426,57.3194232,14.3876425,485.2412204,70.8310015,185.8981971,75.8563406,44.3633408,77.6375578,97.7215484,84.388091,77.8956912,191.9561625,0,0,44.20984,209.6062496,146.468205,271.1327195,218.2177858,283.9631319,56.8794018,129.254697,24.0645246,31.4773584,195.2044752,34.8299646,70.7453964,89.3659956,50.8950216,53.2117458,289.5186348,20.5553316,300.7312056,554.4053389,349.7360972,64.0163546,396.3710625,510.250071,484.7402267,16.7592689,139.9194624,0,60.4896788,103.8018576,0,217.2316512,72.4229118,222.918156,615.4052652,359.1971082,246.5161677,244.8436752,32.657415,14.0164515,257.6426877,357.4095168,82.050867,256.1876016,500.892945,216.3153965,142.173795,216.8025678,213.4834054,271.3973797,152.9515904,426.89512,126.3494466,141.36506,150.9637415,224.839293,18.247614,9.5503994,118.8861514,308.947266,99.3770724,651.272832,427.6869337,411.8757016,417.589102,90.3045513,172.1787912,421.756249,475.417114,181.495069,69.5472974,124.4671218,37.9759678,355.6287558,0,127.6469736,146.9851226,0,111.2259726,338.611014,57.37023,109.3751435,48.0149712,320.241159,225.0990996,296.5299732
LOR009C3120,0,0,0,0,0,0,210.7425215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR011C436,0,0,0,0,0,0,0,639.3362448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.376289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR012C11763,0,0,0,0,0,0,0,0,762.4541322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR016C10098_1,0,0,0,0,0,0,0,0,0,0,0,0,81.5658047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR016C8165,0,0,0,0,0,0,0,0,0,0,0,0,191.0617376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR018C11461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.873907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR018C11685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.8284702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR019C1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.17258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR019C6871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.262725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
